,Country,Poverty Headcount Ratio % Pop,Population Growth %annual,Total Population,Total Reserves,Gross Debt Position %GDP,Export Goods Services %GDP,Import Goods Services %GDP,Energy Intensity Level of Primary Energy mj per $,"Current account balance (BoP, current US$)",GDP (current US$),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",Population density (people per sq. km of land area),"Manufacturing, value added (% of GDP)","Industry, value added (% of GDP)","Services, value added (% of GDP)",Urban population (% of total population),Nuclear Language,Section on Nuclear,Operational Capacity (MW),Under Construction Capacity (MW),Shutdown Capacity (MW),Nuclear
0,AGO,49.9,3.21853035205175,32866268.0,13781988139.5961,127.115413,35.2845259757963,27.3316321959984,3.60595906776897,893768430.83993,62306913444.2917,-4.04051000025351,0.88738036390839,45.6703147888184,33.9472938509,24.7130721103714,4.30866653967553,44.7609032351554,41.3944361433503,66.825,0,0,0.0,0.0,0.0,0
1,ALB,1.3,-0.577942252408581,2837743.0,4817386149.20461,75.95970884,23.249921309893,38.080952627464,2.88661148238797,-1317236096.62278,14799615097.1008,-3.31123944391327,1.93973156347946,100.0,16.3262431328,104.612262773723,6.21173685213594,19.7049994696374,48.4282850128423,62.112,0,0,0.0,0.0,0.0,0
2,ARE,0.0,1.21942868246666,9890400.0,106701571777.291,38.32886764,92.4562533364679,68.4798395482329,5.08041965843662,,421142267937.372,1.6777203729529,20.7974984025486,100.0,1.7258629315,135.609208673613,8.72083649650538,46.1603691405382,53.1087906890622,87.048,1,0,1345.0,4035.0,0.0,1
3,ARG,1.5,0.970053991438048,45376763.0,39403734630.1228,102.997581,16.6137220454622,13.8865054056974,4.34010162122093,2984985969.99773,383066977653.56,-9.90523485573888,3.9872341980589,100.0,10.5876124934,16.2585100979651,13.86030694595,22.4694767111459,54.3371880468241,92.111,0,0,1641.0,25.0,0.0,1
4,ARM,1.1,0.185983344838062,2963234.0,2615530571.20173,62.78704658,30.7076519248757,39.3496358782492,5.38244293235421,-394236447.78479,12645459213.5235,-7.59999999999999,1.88024626821933,100.0,4.2710586922,103.67899543379,12.4394191665917,26.4138473692168,53.2963672595596,63.313,1,0,415.0,0.0,376.0,1
5,AUS,0.5,1.25869817155796,25687041.0,43012629264.9892,63.12767943,23.9152267660839,20.0626259797586,5.03115546358054,33829320741.584,1330900925056.98,-0.284839297785609,15.475516485656,100.0,16.0807055697,3.24787091037205,5.71969510002327,25.6880849464954,66.0401886132934,86.241,0,0,0.0,0.0,0.0,0
6,AUT,0.6,0.419000872876687,8917205.0,30439562425.1269,85.22413039,52.6231770817038,48.8504493066989,3.60837670799345,10780590327.196,428965397959.456,-6.59041042539226,7.14663762463773,100.0,77.1741931789,107.131858943286,15.8242708027264,25.4357210574713,62.9235389793881,58.748,0,0,0.0,0.0,0.0,0
7,AZE,0.0,0.852605731702236,10110116.0,7633754109.94894,21.37019171,35.6953123058529,36.4676207543054,3.73014078315772,-227568000.0,42607176470.5882,-4.30998913316057,3.22140218320925,100.0,23.9563121988,120.25759188908,5.76773865766883,41.3879462449021,42.5185207683875,56.397,0,0,0.0,0.0,0.0,0
8,BDI,72.8,3.07610176014791,11890781.0,90319165.5391625,69.51290988,4.98420165847728,27.9170758155318,7.72218437489304,-362644693.882423,3258187232.63159,0.297577119233125,0.0527946300523678,11.0647974014282,5.3552302749,435.178309968847,9.36171645020186,10.6789943792682,45.2088533120584,13.708,0,0,0.0,0.0,0.0,0
9,BEL,0.1,0.581620792438621,11555997.0,33296227564.694,114.9897818,80.5786821089466,80.1263096581407,4.74127411057829,-933105903.567895,515332499627.861,-6.28392995127165,8.17971106113614,100.0,80.3705558338,377.379590488771,12.268957032153,19.2064797643674,69.6481136334773,98.079,0,0,5942.0,0.0,10.0,1
